report_date,online_store,upc,retailer_product_code,brand,category,sub_category,product_description,review_date,review_rating,review_title,review_text,is_competitor,manufacturer,market,matched_keywords,time_of_publication,url,review_type,parent_review,manufacturers_response,dimension1,dimension2,dimension3,dimension4,dimension5,dimension6,dimension7,dimension8,verified_purchase,helpful_review_count,review_hash_id
08012019,freshamazon,871811e12,b0151i60z4,dove mencare,personal care,deodorants fragrances,dove mencare clean comfort aerosol antiperspirant deodorant 250ml,07012019,5,deodorant,beautiful,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr3kjwi2riigqrfrefcmcrarpdrvwttlieutf8asinb0151i60z4,organic,parent,,deodorants fragrances,male antiperspirant deodorant,cotc male antiperspirant deodorant,na,na,na,cotc male antiperspirant deodorant,core of the core,true,0,f501fd408d6a2c486b19e7d0ea3c0313
10012019,freshamazon,501225e12,b014g2y57g,tresemm,personal care,hair,tresemme moisture rich conditioner 900ml,09012019,5,repeat purchase,always buy big bottles,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr2pv2eg29nc7pirefcmcrarpdrvwttlieutf8asinb014g2y57g,organic,child,,hair,women general cleanse conditioner,cotc conditioner moisture,na,na,na,cotc conditioner moisture,core of the core,true,0,b39144df446aecfef68c6c12b54d986c
12012019,amazon,871716e12,b004pu04ca,cif,homecare,household care,cif citrus bathroom mousse 500ml,02012019,5,very handy,does what is says it does,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrj16077ydxib0refcmcrarpdrvwttlieutf8asinb004pu04ca,organic,child,,household care,cleaning spray,bathroom mousse,na,na,na,retailer core of the core,core of the core,false,0,128ca6016ae291c6967cb03fdf8a4ada
12012019,amazon,501225e12,b00oq84aw6,tresemm,personal care,hair,tresemme silky smooth conditioner 900ml,02012019,5,excellent on my badly treated hair,always use this product on my heavily mistreated hair and it works wonders time after time,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrnz1s4t92yde1refcmcrarpdrvwttlieutf8asinb00oq84aw6,organic,child,,hair,women general cleanse conditioner,smooth conditioner,na,na,na,smooth conditioner,core of the core,true,0,ff4b93865ed42c12aead80eb3f8038c1
13012019,freshamazon,500019e12,b014g50572,domestos,homecare,household care,domestos original bleach 750ml,12012019,5,recommend,great value,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr1k8wykltafqiqrefcmcrarpdrvwttlieutf8asinb014g50572,organic,parent,,household care,bleach,cotc bleach,na,na,na,cotc bleach,core of the core,true,0,571fa100893e75d866fec1683447c8b6
14012019,amazonprimepantry,501225e12,b0142cirb0,tresemm,personal care,hair,tresemme silky smooth conditioner 900ml,02012019,5,excellent on my badly treated hair,always use this product on my heavily mistreated hair and it works wonders time after time,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrnz1s4t92yde1refcmcrarpdrvwttlieutf8asinb0142cirb0,organic,parent,,hair,women general cleanse conditioner,smooth conditioner,na,na,na,smooth conditioner,core of the core,true,0,180fe0497a09596dac1f15a1cdb3404c
14012019,freshamazon,871811e12,b014g2wpgy,dove,personal care,hair,dove nutritive solutions daily moisture shampoo 250ml,13012019,5,happy,its not the one in the picture but gets 5 stars because its the regular one i use and its awesome for people with dry skin,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr10m58fsagfo7hrefcmcrarpdrvwttlieutf8asinb014g2wpgy,organic,parent,,hair,moisture shampoo,moisture shampoo,na,na,na,moisture shampoo,core of the core,true,0,42f79800570c005a899616395c8fdeb7
12012019,freshamazon,871256e12,b014g35aw4,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,11012019,5,really works,item as described excellent quality rapid delivery great for skin irritations redness blemishes,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr1e9ptsoypglbrefcmcrarpdrvwttlieutf8asinb014g35aw4,organic,parent,,skin care,body lotion,vaseline body lotion,na,na,na,vaseline body lotion,core of the core,true,0,593655f65d85b861de36bdb1307c69c0
15012019,freshamazon,871256e12,b017gs8keq,dove,personal care,skin cleansing,dove gentle exfoliating body wash 250ml,14012019,5,lovely,good body wash but not a very strong smell,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr34djmy205v7tcrefcmcrarpdrvwttlieutf8asinb017gs8keq,organic,parent,,skin cleansing,body wash,body wash,na,na,na,body wash,core of the core,true,0,cb22049016275ca5b75b18508d279b5c
17012019,freshamazon,871811e12,b014g2wpgy,dove,personal care,hair,dove nutritive solutions daily moisture shampoo 250ml,16012019,5,toiletries,great,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr2khgu55a2vddzrefcmcrarpdrvwttlieutf8asinb014g2wpgy,organic,parent,,hair,moisture shampoo,moisture shampoo,na,na,na,nonretailer core of the core,core of the core,true,0,fb7946306f9ad9b1564a966fb31808e9
17012019,freshamazon,871256e12,b017gs8keq,dove,personal care,skin cleansing,dove gentle exfoliating body wash 250ml,16012019,5,toiletries,great,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr151l1mk3i38n9refcmcrarpdrvwttlieutf8asinb017gs8keq,organic,parent,,skin cleansing,body wash,body wash,na,na,na,nonretailer core of the core,core of the core,true,0,2427b4d75c0a98ea3b021c1d48d6db9b
20012019,freshamazon,87121e12,b018m7gerk,pg tips,refreshment,tea and soy fruit beverages,pg tips original tea bags 240,19012019,5,more for your money,worth it,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrcsqwzppi50uerefcmcrarpdrvwttlieutf8asinb018m7gerk,organic,child,,tea and soy fruit beverages,black tea,black tea,na,na,na,nonretailer core of the core,core of the core,true,0,9f68aa176442b4a08b368d7e1de7204a
22012019,ocado,787211e11,15093011,badedas,personal care,skin cleansing,badedas original bath 750ml,20012019,5,superb,i remember trying this at a friends house years ago now ive been using it for about 3months and its the only one ill buy,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,skin cleansing,bath gel,bath gel,na,na,na,nonretailer core of the core,core of the core,false,0,570a60c531b186276a087fa3d5f02360
23012019,amazonprimepantry,871256e12,b06vvp78mf,comfort,homecare,laundry,comfort blue skies fabric conditioner 114 wash 4l,03012019,5,great,great,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr31ew8sm91d856refcmcrarpdrvwttlieutf8asinb06vvp78mf,organic,parent,,laundry,cotc fabric conditioner,blue fabric conditioner,na,na,na,nonretailer core of the core,core of the core,true,0,fe99a0b7ace9444ad3922d465fd4c0f0
23012019,freshamazon,871811e12,b0151i60z4,dove mencare,personal care,deos,dove mencare clean comfort aerosol antiperspirant deodorant 250ml,22012019,3,pay a little more for a better antiperspirant,not the best antiperspirant out there unless you like going to work with a snow drift under your arm,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr25q8rnato5h1jrefcmcrarpdrvwttlieutf8asinb0151i60z4,organic,parent,,deos,male antiperspirant deodorant,cotc male antiperspirant deodorant,na,na,na,nonretailer core of the core,core of the core,true,0,28fb0e5f045562e97f47d62dd4b27f07
23012019,freshamazon,871811e12,b0151i60z4,dove mencare,personal care,deos,dove mencare clean comfort aerosol antiperspirant deodorant 250ml,22012019,5,smells lovely,love this product,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr2urupbs6g6y0wrefcmcrarpdrvwttlieutf8asinb0151i60z4,organic,parent,,deos,male antiperspirant deodorant,cotc male antiperspirant deodorant,na,na,na,nonretailer core of the core,core of the core,true,0,06f5f7e1336783e73b4c202bf2c1a8f8
23012019,asda,87121e12,5411116,magnum,refreshment,ice cream,magnum almond ice cream 4 x 100ml,22012019,5,addicted,if i die eating one of these iu2019ll die a very contented man i love u2018em,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,ice cream,magnum,cotc magnum,na,na,na,cotc magnum,core of the core,false,0,e9d0bd96ade214391a8111aa75f723ee
26012019,asda,871256e12,4820843,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,25012019,5,beautifully moisturising,i love this range of body lotions as they arenu2019t greasy are easy to apply and soak in quickly and leave my skin feeling super soft and moisturised great value for money and the scent is fresh and light a great go to beauty essential in my bathroom cupboard this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,skin care,body lotion,vaseline body lotion,na,na,na,vaseline body lotion,core of the core,false,0,46849d86b1d3a7368d1b19610cea1e90
27012019,asda,871256e12,4820843,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,26012019,5,a miracle in a bottle absolutely love this product,i suffer with dry sensitive skin and vaseline is one of very few products that doesnt make my skin flare up and itch like crazythe first thing i noticed was the beautiful fresh smell that escaped as i lifted the cap as i applied a drop to my skin i instantly felt a soothing relief and easily moisturised into my skin absorbing effortlessly and not at all greasy unlike alot of other moisturisers ive tried i use this product every day and it has improved my dry skin condition massively couldnt recommend this product enough i absolutely love it this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,skin care,body lotion,vaseline body lotion,na,na,na,vaseline body lotion,core of the core,false,0,98827d65628c07f8c06187fab10597b3
28012019,amazonprimepantry,871045e12,b06wvl72z9,surf,homecare,laundry,surf tropical lily washing liquid 85 wash 3l,03012019,5,lingering comforting smell and cleans really well,absolutely love this stuff leaves a lovely lingering fragrance that you can smell each time you open a wardrobe or clothes drawer gets everything clean really well too reminds me of when i was a kid and mum just put me in some freshly laundered clothes lovely,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr3nfm39hieacw6refcmcrarpdrvwttlieutf8asinb06wvl72z9,organic,parent,,laundry,cotc washing liquid,na,na,na,na,retailer core of the core,core of the core,true,0,6fc53d5d3e7b58bbf06f1c44905c467b
28012019,amazonprimepantry,871045e12,b06wvl72z9,surf,homecare,laundry,surf tropical lily washing liquid 85 wash 3l,04012019,5,very happy with it,very happy with it,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr11ldp1ekhgwsprefcmcrarpdrvwttlieutf8asinb06wvl72z9,organic,parent,,laundry,cotc washing liquid,na,na,na,na,retailer core of the core,core of the core,true,0,c88e50e93acf6de49266c4cbb5f06036
29012019,freshamazon,500019e12,b017vwdsas,persil,homecare,laundry,persil silk and wool washing liquid 15 wash 750ml,28012019,5,perfect for cashmere sweaters and silk tops,i love that i now wash my cashmere sweaters at home saves me a lot of money compared to taking my clothes to the drycleaners every week very happy with my purchase,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrhb5zurgvmz1krefcmcrarpdrvwttlieutf8asinb017vwdsas,organic,parent,,laundry,cotc washing liquid,silk wool washing liquid,na,na,na,nonretailer core of the core,core of the core,true,0,9426bc7b4c9b7b1222d0138cf8bb577c
29012019,asda,871256e12,4820843,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,28012019,5,skin so soft highly recommend,so prior to receiving this i had pretty rough elbows in particular and my skin feels dry as a busy mum of two i admit i sometimes neglect myself some of you may empathise but this product trial gave me the perfect opportunity to reconnect with myself and have a bit of u201cme timeu201d so for 3 days after my baths shower i smothered myself with this i must admit the first time i put this on i wasnu2019t sure about the smell itu2019s not offensive itu2019s like a cucumber smell although itu2019s aloe but i tend to smell of perfumes all the time however by day 3 i actually liked the smell application it went on nicely not too thick and soaked in pretty quickly it didnu2019t feel sticky i always have my morning wash by 0730 but even in the evening before bedtime my skin is feeling noticibly softer and my rough elbows gone verdict thumbs up yes i will be continuing to use this thank you for a fab product trial and for introducing me to vaseline aloe this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,skin care,body lotion,vaseline body lotion,na,na,na,vaseline body lotion,core of the core,false,0,05b99e5237b5bb8e938019617c9304f7
30012019,amazon,87116e12,b00p7pfddm,lynx,personal care,deos,lynx africa body spray deodorant aerosol 200ml,14012019,5,as described quick delivery,happy with item,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr34nm6lxjl7bvyrefcmcrarpdrvwttlieutf8asinb00p7pfddm,organic,parent,,deos,male body spray,cotc male body spray,na,na,na,retailer core of the core,core of the core,true,0,f14076768039cce6ac76e3939aaa9c19
29012019,sainsburys,871091e12,7883548,simple,personal care,skin care,simple water boost skin quench sleeping cream 50ml,01012019,5,light as a feather,i really like this the texture is almost like a gel so its really light and easily absorbed into my skin leaving it feel soft and fresh without any of the weight that some thicker creams havei would buy it again this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriessimplemoisturiserhydratingskin50mlreviews,syndicated,parent,,skin care,face moisturisers,cotc face moisturisers,na,na,na,nonretailer core of the core,core of the core,false,0,1792d2295fe071b56f2607a38c9fbf1b
31012019,freshamazon,871091e12,b01b4fmp2a,alberto balsam,personal care,hair care,alberto balsam coconut lychee shampoo 350ml,30012019,5,good,smells nice,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr25qukjqc7dzkzrefcmcrarpdrvwttlieutf8asinb01b4fmp2a,organic,parent,,hair care,family shampoo,family shampoo,na,na,na,nonretailer core of the core,core of the core,true,0,926e591bf53cb345536ed3e40131627a
31012019,amazonprimepantry,501225e12,b004k557yu,tresemm,personal care,hair care,tresemme cleanse replenish shampoo 900ml,01012019,5,great,a great deal on treseme shampoo giving a long lasting supply so you dont need to keep buying more and very good price,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr69hba1v58xk2refcmcrarpdrvwttlieutf8asinb004k557yu,organic,child,,hair care,women general cleanse shampoo,cotc shampoo cleanse,na,na,na,retailer core of the core,core of the core,true,0,111fdb8ee448a05542c4c502418857ee
31012019,amazonprimepantry,87116e12,b0142ci67a,lynx,personal care,deos,lynx africa body spray deodorant aerosol 200ml,14012019,5,as described quick delivery,happy with item,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr34nm6lxjl7bvyrefcmcrarpdrvwttlieutf8asinb0142ci67a,organic,child,,deos,male body spray,cotc male body spray,na,na,na,retailer core of the core,core of the core,true,0,5ddb51d8d3a4737b2f02001591f4bcee
31012019,amazonprimepantry,871811e12,b0142ci6fc,dove mencare,personal care,deos,dove mencare extra fresh antiperspirant deodorant aerosol 250ml,01012019,5,dove mens deodorant,as you get older you know what you like and what is suitable for your body i like all dove products gives you that fresh all over wide awake feeling and no dandruff or flakey skin no smelly apits,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrevtavyk1sjmzrefcmcrarpdrvwttlieutf8asinb0142ci6fc,organic,child,,deos,male antiperspirant deodorant,cotc male antiperspirant deodorant,na,na,na,retailer core of the core,core of the core,true,0,226c89bbfc4ce287bd311133dab3c8e7
31012019,amazonprimepantry,871811e12,b015j4nk1c,comfort,homecare,laundry,comfort sunshiny days fabric conditioner 85 wash 3l,02012019,5,lenor,great value,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr1uq1vcjae8m0orefcmcrarpdrvwttlieutf8asinb015j4nk1c,organic,parent,,laundry,cotc fabric conditioner,fabric conditioner,na,na,na,nonretailer core of the core,core of the core,true,0,6e6795954a3cbefdfbdf6daa5b960266
31012019,amazonprimepantry,871811e12,b015j4nk1c,comfort,homecare,laundry,comfort sunshiny days fabric conditioner 85 wash 3l,04012019,5,great price delivered to your door,love this comfort,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr20nnyp77e0s2rrefcmcrarpdrvwttlieutf8asinb015j4nk1c,organic,parent,,laundry,cotc fabric conditioner,fabric conditioner,na,na,na,nonretailer core of the core,core of the core,true,0,4f9947fa04da18124e544fb074cd45d0
31012019,ocado,500015e12,14880011,colmans,foods,savoury,colmans cheddar cheese sauce mix 40g,01012019,1,yuck,horrible,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,savoury,recipe mix,recipe mix,na,na,na,nonretailer core of the core,core of the core,false,0,924c26e80498b5e7e43660961544caa8
01022019,amazonprimepantry,871256e12,b014dfq5va,lynx,personal care,skin cleansing,lynx black shower gel 400ml,02012019,5,a great product,a great buy,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrblls3b7b54qfrefcmcrarpdrvwttlieutf8asinb014dfq5va,organic,child,,skin cleansing,shower general,shower general,na,na,na,retailer core of the core,core of the core,true,0,3458dcd80fce4cee383ee9652d133b17
01022019,amazonprimepantry,87117e12,b014pej48k,persil,homecare,laundry,persil colour washing liquid 60 wash,04012019,3,love the design of the container but it is heavily perfumed not for me,love the container easy to pour but am refilling with a nother automatic liquid in future as it is very thick and gloopy hard to be economical and it is so scented you smell like it when wearing what you washed which some may love but i do not after 3 rinses,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr14mgvbijzv12orefcmcrarpdrvwttlieutf8asinb014pej48k,organic,parent,,laundry,cotc washing liquid,cotc washing liquid,na,na,na,nonretailer core of the core,core of the core,true,0,5b39102a14b48c288282d65ffd8581f0
01022019,amazonprimepantry,87117e12,b014pej48k,persil,homecare,laundry,persil colour washing liquid 60 wash,08012019,5,great for darks,washes sharks well,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrfa70fw9azbkcrefcmcrarpdrvwttlieutf8asinb014pej48k,organic,parent,,laundry,cotc washing liquid,cotc washing liquid,na,na,na,nonretailer core of the core,core of the core,true,0,abd0377f67fe5f2a490080bdcafd2974
01022019,amazonprimepantry,87117e12,b014pej48k,persil,homecare,laundry,persil colour washing liquid 60 wash,27012019,5,excellent,excellent,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr30awcouj5bn0prefcmcrarpdrvwttlieutf8asinb014pej48k,organic,parent,,laundry,cotc washing liquid,cotc washing liquid,na,na,na,nonretailer core of the core,core of the core,true,0,c0c8c84ee09851bc44b7ae2e0dc19d40
01022019,amazonprimepantry,87117e12,b014pej48k,persil,homecare,laundry,persil colour washing liquid 60 wash,06012019,5,good,thank you im very happy,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrd9ls5hlrtb89refcmcrarpdrvwttlieutf8asinb014pej48k,organic,parent,,laundry,cotc washing liquid,cotc washing liquid,na,na,na,nonretailer core of the core,core of the core,true,0,cbc868f8773d6a00be6c77f714a81e5c
01022019,amazonprimepantry,871811e12,b0142ci6fc,dove mencare,personal care,deodorants fragrances,dove mencare extra fresh antiperspirant deodorant aerosol 250ml,02012019,5,christmas smellies,good pleasant smelling deoderant boys will love it at christmas,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr23bbt87gt4wu5refcmcrarpdrvwttlieutf8asinb0142ci6fc,organic,child,,deodorants fragrances,male antiperspirant deodorant,male antiperspirant deodorant,na,na,na,retailer core of the core,core of the core,true,0,f8bf76fb62523fce1bfa4a3fbbf27c68
01022019,amazonprimepantry,501225e12,b014g2ybpc,tresemm,personal care,hair care,tresemme moisture rich shampoo 900ml,02012019,4,good shampoo,delivered quickly and decent shampoo only 4 star as one bottle was leaking when delivered,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr3gyx7n2x7bsc3refcmcrarpdrvwttlieutf8asinb014g2ybpc,organic,child,,hair care,women general cleanse shampoo,women general cleanse shampoo,na,na,na,retailer core of the core,core of the core,true,0,8d67d917e64d44a0b1e5c6d4b269064c
01022019,sainsburys,501145e12,2192604,simple,personal care,skin care,simple kind to skin purifying cleansing lotion 200ml,02012019,5,best makeup remover product,have used a lot of makeup brands and in the past bought their more expensive makeup remover products but none have ever removed mascara eyeshadow foundation bases etc as gently and as well as simple cleansing lotion its consistency is not runny you have to squeeze the bottle appropriately onto the cotton wool which is ideal for controlling how much is dispensed also great for tidying up eyeliner or mascara errors when applied sparsely on a cotton wool bud always keep this now in my bathroom cabinet why pay more,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriessimplecleansinglotionfastaction200mlreviews,organic,parent,,skin care,cleansing lotion,cleansing lotion,na,na,na,nonretailer core of the core,core of the core,false,0,4b138bb755ff64113246320390954fb4
01022019,ocado,50184453,11125011,marmite,foods,other foods,marmite spread yeast extract 250g,02012019,5,cant beat it,not sure why the big jar costs more than double this size though,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,other foods,yeast extract,yeast extract,na,na,na,retailer core of the core,core of the core,false,0,0c551897e930394266e34d8795e731bd
31012019,amazon,871045e12,b077yk7glf,comfort,homecare,laundry,comfort sunshiny days fabric conditioner 166 wash 5l,02012019,5,what a bargain,got this on offer for 6 clothes come out very soft and smelling great and it should last a long time too its 100 genuine as well,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr1u4i3k4z523p7refcmcrarpdrvwttlieutf8asinb077yk7glf,organic,child,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,nonretailer core of the core,core of the core,true,0,7b93cad62608b85381a06638c3daf94f
31012019,amazon,871045e12,b077yk7glf,comfort,homecare,laundry,comfort sunshiny days fabric conditioner 166 wash 5l,02012019,5,great,for 6 this is an amazing buy lasted me months smelt amazing and my neighbour even asked me to buy her one,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrbplls0d4x5jkrefcmcrarpdrvwttlieutf8asinb077yk7glf,organic,parent,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,nonretailer core of the core,core of the core,true,0,9c402ab4a4b2160dee0d0afab5fce603
31012019,amazon,871045e12,b077yk7glf,comfort,homecare,laundry,comfort sunshiny days fabric conditioner 166 wash 5l,01012019,5,lovely scent,great buy smells gorgeous,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr3q94h50omkz6orefcmcrarpdrvwttlieutf8asinb077yk7glf,organic,parent,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,nonretailer core of the core,core of the core,true,0,9459bb0f9ed2bac75a8edcd0152eb8b7
